Year	Population	Area (Sq. Km.)	Density (Persons Per Sq. Km.)
1990	838158831	2973193	281.9
1991	853724391	2973193	287.1
1992	870113186	2973193	292.7
1993	886743707	2973193	298.2
1994	903579294	2973193	303.9
1995	920584971	2973193	309.6
1996	937725479	2973193	315.4
1997	954926046	2973193	321.2
1998	972112809	2973193	327.0
1999	989250189	2973193	332.7
2000	1006300297	2973193	338.5
2001	1023295084	2973193	344.2
2002	1040284824	2973193	349.9
2003	1057251124	2973193	355.6
2004	1074159021	2973193	361.3
2005	1090973030	2973193	366.9
2006	1107624346	2973193	372.5
2007	1124134801	2973193	378.1
2008	1140566211	2973193	383.6
2009	1156897766	2973193	389.1
2010	1173108018	2973193	394.6
2011	1189172906	2973193	400.0
2012	1205073612	2973193	405.3
2013	1220800359	2973193	410.6
2014	1236344631	2973193	415.8
